"expenses","distance","country"
2.21,713,"GER"
18.79,877,"UK"
21.84,1260,"UK"
4.49,341,"GER"
20.79,1163,"UK"
26.14,1398,"US"
25.97,72,"US"
11.02,394,"UK"
12.29,34,"UK"
10.13,1130,"UK"
27.12,769,"US"
19.24,1066,"UK"
25.81,2097,"US"
13.9,1614,"UK"
9.44,29,"GER"
4.21,241,"GER"
3.92,2086,"GER"
13.55,1573,"UK"
16.69,681,"UK"
16.61,233,"UK"
13.97,1631,"UK"
13.22,1556,"UK"
11.34,1666,"UK"
5.08,1281,"GER"
5.27,2188,"GER"
10.71,1111,"UK"
2.58,513,"GER"
4.17,241,"GER"
6.48,666,"GER"
11.49,622,"UK"
26.64,2226,"US"
5.34,1036,"GER"
25.45,537,"US"
26.39,1600,"US"
27.68,1746,"US"
14.73,2098,"UK"
11.42,599,"UK"
14.29,1627,"UK"
11.32,770,"UK"
12.9,1681,"UK"
6.03,886,"GER"
11.18,1176,"UK"
16.28,219,"UK"
26.31,569,"US"
20.76,1477,"UK"
18.91,1695,"UK"
12.6,405,"UK"
4.63,1913,"GER"
25.19,750,"US"
17.02,2139,"UK"
25.33,1356,"US"
13.42,1671,"UK"
11.02,1201,"UK"
27.09,1810,"US"
26.53,1720,"US"
13.45,771,"UK"
6.04,1433,"GER"
25.9,1028,"US"
10.18,2325,"UK"
13.92,1533,"UK"
25.46,1117,"US"
18.46,510,"UK"
7.31,1735,"GER"
14.33,85,"UK"
27.53,462,"US"
5.75,1077,"GER"
24.35,391,"US"
25.26,1515,"US"
25.93,2082,"US"
18.86,1276,"UK"
27.33,2070,"US"
13.09,1490,"UK"
5.1,1033,"GER"
5.88,876,"GER"
5.84,1564,"GER"
8.72,1028,"GER"
5.03,819,"GER"
6.5,653,"GER"
11.6,1555,"UK"
5.95,1423,"GER"
9.75,1045,"GER"
12.99,2005,"UK"
25.21,294,"US"
25.63,1660,"US"
26.58,2041,"US"
25.89,1145,"US"
27.59,401,"US"
27.53,532,"US"
18.8,995,"UK"
26.05,388,"US"
8.26,2299,"GER"
12.56,1534,"UK"
20.63,1446,"UK"
21.22,1480,"UK"
13.4,825,"UK"
26.9,644,"US"
5.42,1550,"GER"
6.93,1703,"GER"
10.4,1221,"UK"
1.68,1030,"GER"
24.83,2101,"US"
13.14,1681,"UK"
2,1567,"GER"
26.94,1512,"US"
3.64,2018,"GER"
15.22,2251,"UK"
26.67,2291,"US"
26.9,2240,"US"
5.76,1225,"GER"
9.02,2300,"GER"
24.8,1175,"US"
27.65,674,"US"
25.92,901,"US"
11.54,558,"UK"
18.23,1924,"UK"
25.19,1443,"US"
18.68,601,"UK"
25.94,1884,"US"
6.17,895,"GER"
18.88,1584,"UK"
18.82,1577,"UK"
27.11,57,"US"
25.19,998,"US"
26.69,1270,"US"
16.7,953,"UK"
25,1772,"US"
12.81,1434,"UK"
6.81,640,"GER"
18.81,1622,"UK"
27.1,691,"US"
7.39,539,"GER"
24.84,1557,"US"
26.24,317,"US"
8.48,24,"GER"
12.62,2012,"UK"
26.12,2113,"US"
12.37,739,"UK"
26.8,504,"US"
26.08,932,"US"
26.26,932,"US"
8.75,1220,"GER"
12.5,1538,"UK"
11.85,1550,"UK"
6.7,2266,"GER"
12.07,811,"UK"
7.49,520,"GER"
10.49,28,"UK"
18.96,1673,"UK"
13.65,1678,"UK"
2.69,1769,"GER"
10.78,2022,"UK"
17.06,284,"UK"
9.08,17,"GER"
26.52,1786,"US"
10.09,1042,"UK"
12.75,801,"UK"
5.78,1479,"GER"
4.17,2100,"GER"
5.42,279,"GER"
26.24,242,"US"
5.75,1342,"GER"
2.06,1497,"GER"
25.74,2054,"US"
6.22,878,"GER"
2.36,641,"GER"
5.85,1410,"GER"
3.2,1292,"GER"
21.25,1170,"UK"
12.46,1437,"UK"
6.63,1645,"GER"
25.68,1622,"US"
14.02,808,"UK"
18.44,483,"UK"
12.13,1736,"UK"
25.38,297,"US"
25.48,1572,"US"
25.42,1131,"US"
13.52,1553,"UK"
5.54,117,"GER"
4.41,1902,"GER"
27.39,364,"US"
11.57,744,"UK"
18.29,442,"UK"
6.46,1594,"GER"
26.18,241,"US"
26.86,1738,"US"
7.02,537,"GER"
18.79,601,"UK"
26.23,619,"US"
6.15,1083,"GER"
25.84,565,"US"
27.24,533,"US"
12.73,854,"UK"
24.83,2207,"US"
25.47,1402,"US"
2.2,1545,"GER"
3.41,316,"GER"
18.82,1575,"UK"
6.65,1541,"GER"
18.89,1600,"UK"
9.57,2029,"GER"
11.1,950,"UK"
3.23,1957,"GER"
25.77,1910,"US"
26.59,289,"US"
8.78,2304,"GER"
5.79,770,"GER"
25.48,1912,"US"
25.94,2270,"US"
6.96,496,"GER"
26.01,1701,"US"
11.18,887,"UK"
27.48,2063,"US"
13.86,2312,"UK"
25.72,247,"US"
5.25,1429,"GER"
26.28,1360,"US"
9.05,398,"GER"
3.45,2029,"GER"
16.53,1271,"UK"
11.18,727,"UK"
26.54,1247,"US"
12.89,1494,"UK"
26.14,2274,"US"
13.97,449,"UK"
9.42,2021,"GER"
4.65,1053,"GER"
8.08,1150,"GER"
2.52,550,"GER"
24.79,1010,"US"
21.1,1174,"UK"
27.51,1123,"US"
11.3,1395,"UK"
11.25,30,"UK"
25.67,1092,"US"
26.45,1373,"US"
12.39,1486,"UK"
6.82,1632,"GER"
7.34,1758,"GER"
24.5,302,"US"
17.41,2095,"UK"
14.49,1563,"UK"
25.03,1877,"US"
26.51,377,"US"
14.5,1603,"UK"
5.66,1561,"GER"
5.6,1482,"GER"
5.77,854,"GER"
26.75,61,"US"
11.88,554,"UK"
6.4,589,"GER"
26.16,2025,"US"
8.81,1112,"GER"
7.42,533,"GER"
26.49,2113,"US"
26.29,386,"US"
5.54,846,"GER"
4.83,1190,"GER"
11.14,1302,"UK"
27.3,1407,"US"
26.43,1915,"US"
27.32,917,"US"
10.11,1119,"UK"
24.89,1017,"US"
12.27,771,"UK"
5.99,890,"GER"
12.13,2326,"UK"
25.04,2050,"US"
5.81,726,"GER"
13.77,1509,"UK"
25.39,226,"US"
19.03,1618,"UK"
5.65,1488,"GER"
26.71,373,"US"
26.98,1966,"US"
6.13,667,"GER"
27.49,1730,"US"
13.92,457,"UK"
24.99,1189,"US"
26.79,1523,"US"
27.33,608,"US"
6.21,609,"GER"
25.25,1811,"US"
2.71,475,"GER"
25.68,2235,"US"
14.65,760,"UK"
26.09,2207,"US"
25.71,1159,"US"
26.17,1393,"US"
5.83,1961,"GER"
17.5,1620,"UK"
18.82,1266,"UK"
27.55,998,"US"
26.36,1935,"US"
12.98,1445,"UK"
26.91,1722,"US"
5.35,1400,"GER"
5.86,1357,"GER"
7.03,492,"GER"
27.31,2310,"US"
16.82,1512,"UK"
4.92,990,"GER"
5.88,718,"GER"
17.34,321,"UK"
8.33,1128,"GER"
9.23,2314,"GER"
12.1,864,"UK"
25.16,1729,"US"
5.34,1559,"GER"
27.54,1097,"US"
6.77,706,"GER"
1.95,832,"GER"
19.77,1429,"UK"
25.71,408,"US"
26.69,1629,"US"
25.19,2026,"US"
18.02,439,"UK"
6.97,2121,"GER"
6.46,1568,"GER"
2.71,467,"GER"
27.07,948,"US"
26.36,246,"US"
26.02,1375,"US"
27.47,271,"US"
27.3,390,"US"
5.63,1095,"GER"
24.67,403,"US"
6.37,689,"GER"
3.65,835,"GER"
11.69,917,"UK"
5.7,1387,"GER"
17.61,2064,"UK"
17.7,1585,"UK"
3.54,342,"GER"
17.45,354,"UK"
6.47,680,"GER"
7.5,1738,"GER"
27.24,678,"US"
2.87,871,"GER"
13.66,60,"UK"
6.08,2228,"GER"
4.91,979,"GER"
7.37,2266,"GER"
25.08,1587,"US"
27.23,668,"US"
26.91,630,"US"
10.88,1189,"UK"
11.14,1454,"UK"
5.05,1154,"GER"
16.06,616,"UK"
11.09,2333,"UK"
12.49,1603,"UK"
8.31,2284,"GER"
2.38,699,"GER"
7.83,2014,"GER"
12.81,638,"UK"
5.69,1396,"GER"
1.85,1312,"GER"
26.17,2043,"US"
15.3,1244,"UK"
5.23,910,"GER"
19.8,1442,"UK"
12.35,1445,"UK"
25.65,2045,"US"
13.35,2143,"UK"
12.51,40,"UK"
26.24,1088,"US"
9.69,392,"GER"
25.72,1725,"US"
26.43,952,"US"
25.02,2052,"US"
16.88,251,"UK"
26.73,1118,"US"
25.19,1150,"US"
3.31,346,"GER"
17.08,2098,"UK"
11.6,1723,"UK"
25.7,2282,"US"
18.62,1863,"UK"
10.07,1148,"UK"
26.1,929,"US"
27.59,1390,"US"
6.11,708,"GER"
13.78,730,"UK"
6.7,1664,"GER"
26.9,2212,"US"
14.11,277,"UK"
26.32,1844,"US"
12.32,2326,"UK"
25.8,1021,"US"
26.37,71,"US"
26.62,731,"US"
1.73,1261,"GER"
18.06,430,"UK"
25.11,1029,"US"
11.4,1173,"UK"
12.14,1517,"UK"
11.64,1525,"UK"
26.2,771,"US"
26.73,1835,"US"
12.09,759,"UK"
27.33,1669,"US"
5.32,1196,"GER"
25.15,1195,"US"
1.73,1271,"GER"
12.03,927,"UK"
11.44,1470,"UK"
5.81,884,"GER"
25.75,2035,"US"
5.58,954,"GER"
24.64,1085,"US"
4.92,2149,"GER"
14.94,126,"UK"
27.1,701,"US"
5.4,1553,"GER"
5.77,100,"GER"
11.27,661,"UK"
14.19,1953,"UK"
26.21,1389,"US"
12.96,1583,"UK"
1.68,870,"GER"
5.99,1141,"GER"
4.93,307,"GER"
25.24,2033,"US"
16.54,464,"UK"
11.76,1749,"UK"
2.16,1676,"GER"
19.39,1246,"UK"
1.73,874,"GER"
9.15,1122,"GER"
13.13,1528,"UK"
25.17,994,"US"
25.92,2301,"US"
9.77,1058,"GER"
18.95,1407,"UK"
26.61,405,"US"
4.55,1051,"GER"
12.07,1384,"UK"
9.75,2314,"GER"
5.74,773,"GER"
27.52,1771,"US"
14.17,737,"UK"
26.22,638,"US"
19.08,1071,"UK"
18.59,613,"UK"
25.55,1667,"US"
7.32,549,"GER"
6.78,239,"GER"
10.01,1105,"UK"
26.72,540,"US"
11.24,720,"UK"
14.22,1614,"UK"
11.75,747,"UK"
24.87,1718,"US"
5.68,1467,"GER"
24.8,1058,"US"
18.67,1841,"UK"
25.6,1585,"US"
12.98,1431,"UK"
25.95,2229,"US"
13.18,840,"UK"
17.05,724,"UK"
21.66,1217,"UK"
26.85,1111,"US"
27.26,1940,"US"
25.64,923,"US"
27.19,389,"US"
26.47,1880,"US"
2.89,1888,"GER"
26.34,2028,"US"
24.49,550,"US"
10.94,1188,"UK"
4.46,342,"GER"
25.45,1760,"US"
24.64,1010,"US"
15.1,2250,"UK"
14.76,311,"UK"
25.84,174,"US"
13.41,1551,"UK"
12.48,1474,"UK"
3.97,2056,"GER"
1.93,1616,"GER"
5.52,929,"GER"
26.58,311,"US"
25.72,1238,"US"
12.23,1455,"UK"
24.68,722,"US"
17.44,601,"UK"
24.89,1990,"US"
24.64,2159,"US"
4.83,1045,"GER"
17.49,1250,"UK"
26.44,1741,"US"
16.45,663,"UK"
26.87,2284,"US"
5.72,1136,"GER"
13.23,44,"UK"
10.08,1062,"UK"
3,1932,"GER"
7.06,1601,"GER"
19.11,830,"UK"
26.36,2251,"US"
6.29,621,"GER"
8.79,1101,"GER"
17.31,335,"UK"
1.82,1392,"GER"
25.44,1247,"US"
25.27,1605,"US"
2.79,512,"GER"
25.9,1180,"US"
5.58,756,"GER"
25.19,1094,"US"
26.63,729,"US"
17.8,406,"UK"
7.55,2267,"GER"
25.58,70,"US"
27.32,1093,"US"
14.13,742,"UK"
27.42,72,"US"
26.06,1372,"US"
12.26,579,"UK"
2.35,642,"GER"
25.74,1623,"US"
11.03,200,"UK"
24.64,301,"US"
18.77,716,"UK"
16.88,689,"UK"
12.34,2019,"UK"
5.39,276,"GER"
13.8,453,"UK"
8.14,44,"GER"
24.83,1950,"US"
1.68,1398,"GER"
11.47,768,"UK"
27.5,457,"US"
6.37,924,"GER"
6.52,1979,"GER"
8.48,963,"GER"
26.89,55,"US"
16.21,221,"UK"
27.34,1360,"US"
26.49,963,"US"
5.58,1354,"GER"
26.22,2034,"US"
12.39,1558,"UK"
9.11,1035,"GER"
5.76,111,"GER"
25.68,65,"US"
13.56,1683,"UK"
12.91,1998,"UK"
9.34,1037,"GER"
27,1884,"US"
6.12,2226,"GER"
26.65,793,"US"
27,2288,"US"
8.5,1357,"GER"
16.78,1740,"UK"
14.5,775,"UK"
12.85,1695,"UK"
6.59,1621,"GER"
26.5,1090,"US"
6.58,717,"GER"
9.08,1148,"GER"
2.01,1235,"GER"
26.21,1380,"US"
5.58,1419,"GER"
27.07,401,"US"
12.24,1519,"UK"
6.38,837,"GER"
19.09,878,"UK"
25.22,1236,"US"
25.94,1483,"US"
16.54,224,"UK"
16.11,1562,"UK"
26.3,1672,"US"
26.31,1724,"US"
25.41,1577,"US"
26.22,2093,"US"
13.13,1475,"UK"
6.91,444,"GER"
27.33,1952,"US"
14.77,780,"UK"
24.61,2097,"US"
14.39,1566,"UK"
6.49,1669,"GER"
7.94,960,"GER"
14.59,1597,"UK"
25.32,1794,"US"
3.2,1927,"GER"
26.79,2273,"US"
26.2,907,"US"
4.91,909,"GER"
11.52,846,"UK"
6.54,1660,"GER"
25.48,402,"US"
14.55,1631,"UK"
26.83,1135,"US"
5.88,845,"GER"
25.42,1517,"US"
5.47,908,"GER"
25.9,437,"US"
10.82,1133,"UK"
26.66,1612,"US"
26.32,86,"US"
25.12,1913,"US"
4.86,1011,"GER"
7.44,43,"GER"
6.19,713,"GER"
25.93,2089,"US"
9.62,1270,"GER"
9.16,1078,"GER"
25.39,1837,"US"
3.17,850,"GER"
12.67,1530,"UK"
24.58,2166,"US"
26.41,1152,"US"
18.99,1690,"UK"
9.66,1281,"GER"
26.76,288,"US"
5.05,1200,"GER"
27.11,365,"US"
27.05,911,"US"
25.69,219,"US"
4.91,2166,"GER"
26.75,1106,"US"
25.11,1170,"US"
26.74,1007,"US"
15.89,170,"UK"
6.96,1652,"GER"
18.85,1624,"UK"
8.65,1096,"GER"
10.48,1094,"UK"
7.1,1652,"GER"
25.91,2236,"US"
25.89,2049,"US"
13.06,1429,"UK"
11.35,1608,"UK"
14.25,2286,"UK"
12.31,721,"UK"
13.33,1498,"UK"
17.94,1995,"UK"
17.26,1008,"UK"
12.47,908,"UK"
12.41,1510,"UK"
13.26,645,"UK"
25.65,1890,"US"
12.21,2161,"UK"
24.58,744,"US"
13.46,1580,"UK"
25.45,34,"US"
15.31,2076,"UK"
26.63,661,"US"
27.55,1686,"US"
24.87,544,"US"
13.71,1675,"UK"
15.77,168,"UK"
5.71,912,"GER"
7.55,42,"GER"
5.08,1166,"GER"
26.01,1791,"US"
14.8,132,"UK"
9.17,2161,"GER"
13.17,852,"UK"
25.22,1324,"US"
6.42,901,"GER"
13.58,70,"UK"
17.09,1258,"UK"
16.23,1259,"UK"
24.79,2081,"US"
26.32,954,"US"
2.82,1790,"GER"
6.04,1526,"GER"
24.98,1547,"US"
12.68,2009,"UK"
26.98,1382,"US"
25.55,1189,"US"
6.15,1443,"GER"
18.83,711,"UK"
26.94,2130,"US"
25.44,2236,"US"
15.93,195,"UK"
19.16,1143,"UK"
21.02,1177,"UK"
9.38,1025,"GER"
18.72,1407,"UK"
13.2,801,"UK"
26.44,1394,"US"
14.74,1583,"UK"
7.18,2274,"GER"
16.11,608,"UK"
18.89,817,"UK"
11.82,1644,"UK"
6.21,93,"GER"
8.62,12,"GER"
16.75,234,"UK"
2.18,1666,"GER"
19.5,1394,"UK"
4.48,1919,"GER"
11.87,1321,"UK"
13.72,1508,"UK"
7.07,587,"GER"
5.31,2164,"GER"
2.14,1646,"GER"
6.62,440,"GER"
14.78,1922,"UK"
18.82,794,"UK"
5.18,1515,"GER"
5.3,1526,"GER"
5.4,784,"GER"
10.61,1088,"UK"
25.85,1390,"US"
25.25,2272,"US"
12.11,1587,"UK"
6.14,677,"GER"
6.86,1662,"GER"
6.01,1164,"GER"
6.36,75,"GER"
9.23,1089,"GER"
13.73,686,"UK"
26.19,2195,"US"
18.53,540,"UK"
8.1,1251,"GER"
11.13,1196,"UK"
18.48,531,"UK"
15.2,2269,"UK"
9.37,1144,"GER"
25.51,243,"US"
11.7,1536,"UK"
11.69,607,"UK"
9.21,1158,"GER"
15.48,1251,"UK"
25.04,1721,"US"
8.01,956,"GER"
25.12,1883,"US"
5.54,111,"GER"
11.65,923,"UK"
12.67,1465,"UK"
4.97,1454,"GER"
11.7,761,"UK"
25.92,534,"US"
4.14,250,"GER"
9.61,2333,"GER"
11.16,1426,"UK"
8.01,1036,"GER"
27.09,1742,"US"
11.22,2347,"UK"
11.17,1299,"UK"
6.58,1709,"GER"
26.53,1823,"US"
24.99,1951,"US"
19.62,1098,"UK"
5.15,925,"GER"
25.04,735,"US"
27.24,176,"US"
25.52,1674,"US"
11.76,1672,"UK"
6.77,79,"GER"
11.69,2171,"UK"
24.89,1987,"US"
25.4,61,"US"
26.39,308,"US"
25.34,233,"US"
5.36,132,"GER"
12.15,20,"UK"
9.01,1028,"GER"
25.22,1160,"US"
11.11,1198,"UK"
26.45,104,"US"
16.22,1821,"UK"
27.49,451,"US"
26.92,59,"US"
12.49,850,"UK"
3.65,1847,"GER"
8.91,1328,"GER"
26.09,918,"US"
11.12,886,"UK"
27.09,1740,"US"
12.15,2318,"UK"
12.17,609,"UK"
6.82,634,"GER"
26.07,734,"US"
24.76,2277,"US"
20.2,1111,"UK"
27,1236,"US"
24.82,2127,"US"
18.77,1670,"UK"
9.81,1140,"GER"
27.35,2096,"US"
12.79,746,"UK"
25.39,1011,"US"
15.26,2260,"UK"
6.06,1339,"GER"
27.2,1380,"US"
5.72,691,"GER"
27.23,1935,"US"
11.78,542,"UK"
15.82,1268,"UK"
25.05,1773,"US"
9.57,1082,"GER"
5.54,758,"GER"
26.58,2223,"US"
25.08,83,"US"
25.12,1411,"US"
26.49,1908,"US"
18.62,638,"UK"
27.44,1757,"US"
9.83,2023,"GER"
27.16,2292,"US"
12.68,2336,"UK"
27.18,681,"US"
9.43,2336,"GER"
26.13,1937,"US"
8.49,1118,"GER"
5.03,1069,"GER"
25.83,1617,"US"
11.39,1349,"UK"
27.28,51,"US"
12.75,648,"UK"
7.74,2277,"GER"
12.99,1670,"UK"
25.17,407,"US"
10.94,1192,"UK"
25.19,2132,"US"
26.55,528,"US"
27.38,481,"US"
25.04,550,"US"
2.23,1523,"GER"
4.33,350,"GER"
26.62,487,"US"
27.44,931,"US"
27.51,1743,"US"
21.01,1469,"UK"
11.05,883,"UK"
26.39,1391,"US"
13.94,1628,"UK"
14.29,1572,"UK"
5.03,1026,"GER"
26.19,477,"US"
26.72,774,"US"
5.65,791,"GER"
20.01,1193,"UK"
25.29,1878,"US"
24.77,2290,"US"
26.4,63,"US"
13.79,1981,"UK"
6.7,1622,"GER"
3.87,2061,"GER"
25.52,525,"US"
5.39,1958,"GER"
12.24,806,"UK"
13.23,819,"UK"
9.08,1092,"GER"
11.16,1019,"UK"
24.82,1793,"US"
25.28,914,"US"
15.28,2250,"UK"
25.21,2183,"US"
11.3,749,"UK"
10.08,2325,"UK"
5.13,981,"GER"
17.5,1615,"UK"
27.3,696,"US"
5.24,1122,"GER"
5.55,1478,"GER"
4.55,1216,"GER"
26.25,1478,"US"
6.8,1715,"GER"
26.64,1769,"US"
12.7,657,"UK"
11.56,730,"UK"
5.89,1410,"GER"
4.68,1074,"GER"
26.39,130,"US"
25.91,1539,"US"
16.15,1265,"UK"
25.39,2057,"US"
12.79,792,"UK"
11.82,752,"UK"
5.46,771,"GER"
25.4,1152,"US"
27.28,1529,"US"
11.61,1418,"UK"
7.34,434,"GER"
12.65,52,"UK"
1.73,832,"GER"
11.89,1334,"UK"
25.1,225,"US"
26.44,524,"US"
9.14,8,"GER"
13.84,1664,"UK"
11.12,786,"UK"
11.14,995,"UK"
19.18,1296,"UK"
25.26,1578,"US"
6.94,639,"GER"
26.69,1668,"US"
25.95,713,"US"
2,1260,"GER"
11.58,1483,"UK"
14.64,2294,"UK"
10.8,188,"UK"
26.02,452,"US"
11.08,964,"UK"
5.45,136,"GER"
26.66,662,"US"
11.73,835,"UK"
26.34,2281,"US"
24.88,753,"US"
27.02,261,"US"
27.5,2113,"US"
26.06,913,"US"
25.15,2097,"US"
4.71,1030,"GER"
25.58,299,"US"
5.7,789,"GER"
19.14,1380,"UK"
25.88,1923,"US"
24.77,1704,"US"
8.82,32,"GER"
25.39,721,"US"
24.63,63,"US"
5.92,1965,"GER"
24.8,86,"US"
26.11,2193,"US"
6.29,841,"GER"
8.73,1177,"GER"
14.51,757,"UK"
26.01,1504,"US"
3.95,271,"GER"
1.82,856,"GER"
18.89,1633,"UK"
9.51,1139,"GER"
16.17,184,"UK"
5.97,2075,"GER"
13.54,1569,"UK"
5.8,261,"GER"
5.07,1295,"GER"
26.94,451,"US"
6.51,1984,"GER"
6.02,1100,"GER"
26.76,1591,"US"
24.5,1374,"US"
25.44,1233,"US"
26.73,1103,"US"
25.79,291,"US"
21.92,1396,"UK"
6.73,1572,"GER"
20.47,1455,"UK"
26.37,1836,"US"
13.64,1974,"UK"
18.83,926,"UK"
6.14,715,"GER"
1.78,842,"GER"
5.21,755,"GER"
8.75,1030,"GER"
11.39,1344,"UK"
12.66,839,"UK"
27.06,1408,"US"
16.32,2177,"UK"
13.64,1693,"UK"
3.07,587,"GER"
13.25,2145,"UK"
11.68,1377,"UK"
5.7,789,"GER"
17.66,2063,"UK"
14.45,1943,"UK"
4.82,1070,"GER"
3.83,2078,"GER"
21.06,1473,"UK"
12.26,619,"UK"
27.54,264,"US"
5.46,1382,"GER"
26.68,1771,"US"
26.25,2105,"US"
10.03,31,"UK"
11.78,812,"UK"
25.98,1016,"US"
5.99,1221,"GER"
5.53,1548,"GER"
15.68,384,"UK"
25.14,1367,"US"
13.85,692,"UK"
25.25,523,"US"
27.52,1925,"US"
26.75,286,"US"
5.99,1349,"GER"
11.66,981,"UK"
13.39,1656,"UK"
6.49,1550,"GER"
5.19,1130,"GER"
12.66,1531,"UK"
10.38,2175,"UK"
6.16,1195,"GER"
8.99,2150,"GER"
4.98,1228,"GER"
12.92,415,"UK"
5.35,1048,"GER"
25.44,2267,"US"
26.78,1827,"US"
12.42,1720,"UK"
18.68,1770,"UK"
27.48,929,"US"
25.79,1232,"US"
10.69,2169,"UK"
24.92,174,"US"
9.4,1170,"GER"
27.33,479,"US"
26.73,1831,"US"
17.69,624,"UK"
27.22,1848,"US"
8.05,1171,"GER"
26.14,772,"US"
18.96,1135,"UK"
25.49,1259,"US"
6.59,1670,"GER"
8.95,1134,"GER"
8.17,1221,"GER"
5.39,1362,"GER"
25.1,1273,"US"
4.56,1912,"GER"
12.73,763,"UK"
5.84,1324,"GER"
24.74,743,"US"
10.82,1220,"UK"
26.38,1029,"US"
11.41,1310,"UK"
3.5,362,"GER"
7.21,1706,"GER"
5.62,918,"GER"
6.86,1614,"GER"
25.8,1253,"US"
14.29,2280,"UK"
26.66,1169,"US"
18.23,438,"UK"
27.33,2065,"US"
6.11,813,"GER"
17.42,2058,"UK"
9.54,10,"GER"
26.24,1775,"US"
8.76,1079,"GER"
7.57,1712,"GER"
27.07,1803,"US"
11.79,841,"UK"
19.04,834,"UK"
16.75,1495,"UK"
17.14,534,"UK"
12.15,782,"UK"
11.4,918,"UK"
25.99,598,"US"
27.31,369,"US"
12.28,1384,"UK"
11.43,718,"UK"
27.6,457,"US"
12.17,750,"UK"
25.52,908,"US"
12.59,1674,"UK"
26.55,1028,"US"
14.94,312,"UK"
5.59,1074,"GER"
27.06,673,"US"
12.02,2011,"UK"
2.15,1623,"GER"
27.3,1145,"US"
26.02,599,"US"
14.41,99,"UK"
18.36,1858,"UK"
11.18,37,"UK"
6.82,1582,"GER"
5.36,1051,"GER"
12.21,2345,"UK"
13.8,1525,"UK"
5.43,702,"GER"
25.18,1164,"US"
26.09,320,"US"
14.88,2086,"UK"
16.53,936,"UK"
24.63,1583,"US"
25.32,895,"US"
26.11,108,"US"
10.93,24,"UK"
6.45,699,"GER"
2.13,751,"GER"
26.75,1773,"US"
25.72,1073,"US"
26.81,1525,"US"
7.41,1758,"GER"
18.92,1621,"UK"
11.82,1422,"UK"
11.31,993,"UK"
11.32,891,"UK"
9.2,409,"GER"
7.19,1718,"GER"
25.87,2176,"US"
5.17,943,"GER"
11.85,688,"UK"
9.17,1141,"GER"
10,1064,"GER"
24.89,1008,"US"
14.69,1237,"UK"
14.92,2096,"UK"
5.33,941,"GER"
12.78,801,"UK"
1.75,932,"GER"
11.55,1359,"UK"
27.33,1142,"US"
24.86,1522,"US"
12.35,1605,"UK"
10.79,2163,"UK"
9.76,1156,"GER"
25.44,1705,"US"
25.27,1697,"US"
27.3,1130,"US"
6.47,2229,"GER"
14.26,2310,"UK"
11.15,2335,"UK"
26.95,1363,"US"
7.99,1018,"GER"
25.61,1258,"US"
25.79,1665,"US"
12.66,2165,"UK"
1.9,1435,"GER"
6.09,1195,"GER"
11.9,1325,"UK"
27.04,1367,"US"
14.86,313,"UK"
25.84,537,"US"
25.92,1779,"US"
26.28,126,"US"
26.56,773,"US"
5.97,852,"GER"
25.73,1669,"US"
16.62,1780,"UK"
12.57,1718,"UK"
5.39,1345,"GER"
27.28,242,"US"
26.26,407,"US"
18.72,568,"UK"
26.7,56,"US"
27.09,375,"US"
15.01,112,"UK"
1.74,883,"GER"
25.93,1508,"US"
2.31,649,"GER"
18.49,523,"UK"
20.19,1450,"UK"
19.04,1510,"UK"
5.3,830,"GER"
16.92,2139,"UK"
5.42,1498,"GER"
25.31,78,"US"
25.88,454,"US"
20.37,1450,"UK"
26.98,633,"US"
13.93,74,"UK"
27.03,1486,"US"
27.49,235,"US"
25.05,1685,"US"
1.66,1280,"GER"
27.34,2059,"US"
5.64,1209,"GER"
9.28,200,"GER"
27.05,773,"US"
5.68,1431,"GER"
5.35,710,"GER"
6.29,1413,"GER"
6.81,2261,"GER"
26.42,2179,"US"
4.27,799,"GER"
11.87,569,"UK"
4.74,1034,"GER"
15.87,1260,"UK"
2.22,693,"GER"
5.73,1096,"GER"
13.89,252,"UK"
25.45,40,"US"
12.14,1447,"UK"
1.87,1437,"GER"
27.66,1737,"US"
3.95,1315,"GER"
27.36,1667,"US"
26.61,386,"US"
6.41,582,"GER"
19.32,1073,"UK"
2.99,851,"GER"
8.44,2302,"GER"
8.87,1117,"GER"
7.77,1049,"GER"
12.47,773,"UK"
14.21,1638,"UK"
5.63,690,"GER"
25.62,1085,"US"
22.12,1368,"UK"
10.28,1156,"UK"
27.41,683,"US"
27.59,1843,"US"
15.21,333,"UK"
26.93,386,"US"
14.08,2305,"UK"
27.35,1587,"US"
18.6,1819,"UK"
8.64,1079,"GER"
26.09,2076,"US"
12.77,1678,"UK"
11.55,811,"UK"
26.84,2189,"US"
1.87,976,"GER"
8.69,1306,"GER"
25.12,1792,"US"
6.27,581,"GER"
15.95,413,"UK"
15.17,1896,"UK"
27.56,705,"US"
12.69,2314,"UK"
9.28,14,"GER"
26.3,2077,"US"
12.61,2004,"UK"
25,1066,"US"
26.13,949,"US"
26.66,1598,"US"
17.75,2053,"UK"
16.47,1261,"UK"
12.39,1716,"UK"
27.26,1925,"US"
16.76,1760,"UK"
10.52,1201,"UK"
26.07,971,"US"
5.59,688,"GER"
25.6,1609,"US"
15.97,195,"UK"
13.15,58,"UK"
21.74,1285,"UK"
14.45,93,"UK"
12.47,1395,"UK"
8.92,1076,"GER"
15.95,2018,"UK"
12.86,811,"UK"
5.07,296,"GER"
26.46,1813,"US"
26.19,1874,"US"
27.44,2216,"US"
27.42,1389,"US"
20.05,1188,"UK"
12.35,891,"UK"
27.3,592,"US"
